file_path,vul_id,severity,vul_name
CWE36_Absolute_Path_Traversal__NetClient_81_base.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Environment_04.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Get_Cookies_Web_08.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__NetClient_10.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_67b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_73b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Params_Get_Web_17.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__QueryString_Web_17.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__NetClient_41.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_54a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_66a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_72a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_68a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_06.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Params_Get_Web_53b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_71b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_06.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_81a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__File_06.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Params_Get_Web_74a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_02.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_12.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_53d.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Params_Get_Web_75a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Params_Get_Web_61a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__File_16.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_16.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Params_Get_Web_52b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_16.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_73a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_54e.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_67a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__QueryString_Web_07.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_68b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_72b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Params_Get_Web_07.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_54b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_66b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Environment_45.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Environment_14.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Listen_tcp_08.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_02.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__File_02.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_53c.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_06.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_71a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_53d.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__NetClient_45.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__QueryString_Web_13.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Params_Get_Web_42.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__NetClient_14.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_66b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__QueryString_Web_42.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Params_Get_Web_13.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_72b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_02.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_54e.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_54a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_12.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_68a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Params_Get_Web_03.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Params_Get_Web_54c.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_73b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_67b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__NetClient_04.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Params_Get_Web_51b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__QueryString_Web_03.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_16.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__ReadLine_52c.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__File_12.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_81a.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_12.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Get_Cookies_Web_81_bad.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Database_71b.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Environment_10.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Connect_tcp_81_base.cs,36,3,Absolute_Path_Traversal
CWE36_Absolute_Path_Traversal__Environment_41.cs,36,3,Absolute_Path_Traversal
